fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
12/8/2021,AGO 21,S03,SUR,"375076,6875",6472754,PRIMARIA,AdM-JA-PAF-AT-GN,1,1,0,3,"0,0299999993294477",BOSQUE_SUELODESNUDO,5,4,1,1,0,1,S03,7
8/8/2022,AGO 22,S04,SUR,"375991,6875",6472064,PRIMARIA,AdM-GC,1,0,3,0,0,SIOSEL_PASTIZAL,5,3,1,0,1,0,S04,2
14/2/2020,FEB 20,S04,SUR,"375991,6875",6472064,PRIMARIA,AdM-GR,0,0,0,0,0,SIOSEL_PASTIZAL,0,0,0,0,0,0,S04,2
12/8/2021,AGO 21,S04,SUR,"375991,6875",6472064,PRIMARIA,AdM-AT,1,1,3,2,"0,090999998152256",SIOSEL_PASTIZAL,5,6,1,1,1,1,S04,2
2/2/2021,FEB 21,S04,SUR,"375991,6875",6472064,PRIMARIA,AdM - FS - RD,1,0,2,2,"0,034000001847744",SIOSEL_PASTIZAL,5,4,1,1,1,0,S04,2
15/2/2022,FEB 22,S04,SUR,"375991,6875",6472064,PRIMARIA,MP-AdM,0,0,0,0,0,SIOSEL_PASTIZAL,10,0,0,0,0,0,S04,2
15/2/2022,FEB 22,S05,SUR,"375706,6875",6471989,PRIMARIA,AF-RD,0,0,0,0,0,SIOSEL_ARBUSTAL,60,0,0,0,0,0,S05,2
12/8/2021,AGO 21,S05,SUR,"375706,6875",6471989,PRIMARIA,PAF-JA,1,0,2,4,"0,129999995231628",SIOSEL_ARBUSTAL,10,6,1,1,1,0,S05,3
8/8/2022,AGO 22,S05,SUR,"375706,6875",6471989,PRIMARIA,AT-SM-ER,1,1,11,6,"0,0179999992251396",SIOSEL_ARBUSTAL,30,18,1,1,1,1,S05,3
14/2/2020,FEB 20,S05,SUR,"375706,6875",6471989,PRIMARIA,AdM-GR,0,0,0,0,0,SIOSEL_ARBUSTAL,20,0,0,0,0,0,S05,3
